time,open,high,low,close,volume
2025-05-15 13:00:00,981.61,989.69,981.12,988.19,7936
2025-05-15 17:00:00,988.2,993.47,986.02,990.43,7091
2025-05-15 21:00:00,990.48,992.24,990.08,991.71,4091
2025-05-16 01:00:00,990.22,993.81,990.22,991.59,6501
2025-05-16 05:00:00,991.32,991.74,987.76,990.21,6970
2025-05-16 09:00:00,990.22,990.43,983.33,984.61,5684
2025-05-16 13:00:00,984.77,988.19,982.21,987.34,7171
2025-05-16 17:00:00,987.35,989.71,984.6,986.78,6868
2025-05-16 21:00:00,986.77,990.63,986.02,988.51,3866
2025-05-19 01:00:00,991.29,996.23,990.88,992.99,6450
2025-05-19 05:00:00,993.0,993.79,990.04,992.81,7337
2025-05-19 09:00:00,992.69,995.0,986.73,992.92,6238
2025-05-19 13:00:00,992.88,998.68,987.55,991.22,8114
2025-05-19 17:00:00,991.52,1001.88,989.61,999.5,7274
2025-05-19 21:00:00,999.51,1003.8,997.96,999.2,4351
2025-05-20 01:00:00,1001.04,1007.64,998.45,1003.57,6038
2025-05-20 05:00:00,1003.53,1004.38,1000.0,1002.18,7145
2025-05-20 09:00:00,1001.77,1009.34,1001.2,1004.72,6855
2025-05-20 13:00:00,1004.73,1032.52,1004.34,1032.05,8536
2025-05-20 17:00:00,1032.2,1049.9,1030.96,1049.05,8272
2025-05-20 21:00:00,1049.06,1057.91,1048.07,1056.41,4558
2025-05-21 01:00:00,1052.22,1061.13,1047.44,1050.18,6013
2025-05-21 05:00:00,1050.19,1050.7,1038.92,1046.16,7057
2025-05-21 09:00:00,1046.16,1047.67,1038.64,1047.38,6407
2025-05-21 13:00:00,1047.49,1067.29,1045.76,1063.17,8805
2025-05-21 17:00:00,1063.26,1083.36,1063.26,1073.25,9197
2025-05-21 21:00:00,1073.36,1082.09,1071.94,1075.03,4726
2025-05-22 01:00:00,1074.24,1080.42,1071.85,1080.06,6660
2025-05-22 05:00:00,1080.05,1080.61,1071.09,1075.12,7607
2025-05-22 09:00:00,1075.13,1083.24,1065.21,1067.99,7460
2025-05-22 13:00:00,1067.95,1083.45,1061.4,1069.75,9424
2025-05-22 17:00:00,1069.65,1079.39,1067.46,1077.77,7716
2025-05-22 21:00:00,1077.78,1080.99,1076.16,1080.65,3762
2025-05-23 01:00:00,1077.98,1090.41,1077.71,1087.69,5926
